Daniel Burbank
Robert D. Cabana
Yvonne Cagle
Fernando Caldeiro
Joseph M. Acaba
Loren Acton
James Adamson
Aydyn Aimbetov
Thomas Akers
Vladimir Aksyonov
Buzz Aldrin
Joseph P. Allen
Michael Alsbury
Clayton Anderson
Jerome Apt
Richard R. Arnold
Yuri Artyukhin
Toktar Aubakirov
Sergei Avdeyev
James P. Bagian
Ellen S. Baker
Aleksandr Balandin
Michael R. Barratt
Kayla Barron
Daniel Barry
John-David F. Bartoe
Charlie Bassett
Yuri Baturin
Eric A. Boe
Charles Bolden
Valentin Bondarenko
Frank Borman
Kenneth Bowersox
Vance Brand
Curtis Brown
James Buchli
Jay C. Buckey
John S. Bull
Daniel Bursch
Valery Bykovsky
Charles Camarda
Kenneth D. Cameron
David Saint-Jacques
Gennadi Sarafanov
Svetlana Savitskaya
Hans Schlegel
